ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής;Ιωάννινα;14.761
ΠΥΡΟΣΒΕΣΤΙΚΗ ΑΚΑΔΗΜΙΑ (ΣΠΑ) Αξιωματικών Πυροσβεστικής Ακαδημίας (Μόνο για Πυροσβέστες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);14.750
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Επιστήμης Τροφίμων και Διατροφής του Ανθρώπου;Αθήνα;14.720
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Ξάνθη;14.650
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Ιωάννινα;14.600
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Αγρονόμων και Τοπογράφων Μηχανικών - Μηχανικών Γεωπληροφορικής;Αθήνα;14.575
ΣΧΟΛΗ ΙΚΑΡΩΝ (ΣΙ) Ικάρων (ΣΙ) Ιπτάμενοι Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);14.575
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Χανιά;14.575
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ Χρηματοοικονομικής και Τραπεζικής Διοικητικής;Πειραιάς;14.550
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Επιστημών της Εκπαίδευσης και Κοινωνικής Εργασίας;Πάτρα;14.520
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Μηχανολόγων Μηχανικών;Κοζάνη;14.518
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη, Θεωρία και Αρμονία».";Αθήνα;14.510
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Χανιά;14.492
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Χημικών Μηχανικών;Κοζάνη;14.485
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Μαθηματικών;Θεσσαλονίκη;14.460
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Μαθηματικών;Αθήνα;14.405
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανολόγων Μηχανικών;Αιγάλεω;14.367
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη, Θεωρία και Αρμονία».";Θεσσαλονίκη;14.310
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Γεωπονίας;Θεσσαλονίκη;14.290
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Πολιτικών Μηχανικών;Πάτρα;14.285
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής;Πάτρα;14.260
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Φυσικής;Θεσσαλονίκη;14.237
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Φυσικής;Αθήνα;14.183
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Επιστημών Προσχολικής Αγωγής και Εκπαίδευσης;Θεσσαλονίκη;14.175
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Ξάνθη;14.120
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΟΠΑ) Στατιστικής;Αθήνα;13.982
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Ναυπηγών Μηχανικών;Αιγάλεω;13.980
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Σέρρες;13.945
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Επιστήμης και Τεχνολογίας Τροφίμων;Αιγάλεω;13.850
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανικών Βιοϊατρικής;Αιγάλεω;13.665
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Κοζάνη;13.645
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Πολιτικών Μηχανικών;Βόλος;13.630
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Ρέθυμνο;13.625
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Εσωτερικής Αρχιτεκτονικής Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Αιγάλεω;13.475
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ Βιομηχανικής Διοίκησης και Τεχνολογίας;Πειραιάς;13.460
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Κομοτηνή;13.444
"ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανικών Πληροφορικής, Υπολογιστών και Τηλεπικοινωνιών";Σέρρες;13.440
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος;Χανιά;13.400
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Μεταλλειολόγων - Μεταλλουργών Μηχανικών;Αθήνα;13.375
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Γραφιστικής και Οπτικής Επικοινωνίας Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Αιγάλεω;13.325
ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ Αστυφυλάκων (Μόνο για Πολίτες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);13.180
ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΑΕΡΟΠΟΡΙΑΣ (ΣΜΥΑ) Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Κατεύθυνση Επιχειρησιακής Υποστήριξης Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);13.155
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Επιστημών της Εκπαίδευσης και της Αγωγής στην Προσχολική Ηλικία;Πάτρα;13.100
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Παιδαγωγικό Ειδικής Αγωγής;Βόλος;13.100
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Παιδαγωγικό Δημοτικής Εκπαίδευσης;Αλεξ/πολη;13.025
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Φλώρινα;12.980
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Κινηματογράφου;Θεσσαλονίκη;12.975
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Αιγάλεω;12.920
"ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη, Θεωρία και Αρμονία».";Κέρκυρα;12.880
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Πολιτικών Μηχανικών;Ξάνθη;12.852
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Ηλεκτρολόγων και Ηλεκτρονικών Μηχανικών;Αιγάλεω;12.820
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Πολιτικών Μηχανικών;Αιγάλεω;12.785
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Φυσικής;Ηράκλειο;12.784
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Επιστήμης και Τεχνολογίας Τροφίμων;Θεσσαλονίκη;12.760
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ Στατιστικής και Ασφαλιστικής Επιστήμης;Πειραιάς;12.755
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Πληροφορικής με Εφαρμογές στη Βιοϊατρική;Λαμία;12.725
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Αγρονόμων και Τοπογράφων Μηχανικών;Θεσσαλονίκη;12.695
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Εσωτερικής Αρχιτεκτονικής Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Σέρρες;12.550
ΣΤΡΑΤΙΩΤΙΚΗ ΣΧΟΛΗ ΕΥΕΛΠΙΔΩΝ (ΣΣΕ) Ευελπίδων (ΣΣΕ) - Σώματα Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);12.415
